combo,seed,ja4_full,ja4_a,ja4_b,ja4_c,ja4_a_changed,ja4_b_changed,ja4_c_changed,cipher_count,ext_count,sigalg_count,tls_handshake_ok
JunkHeavy,15,t13d2221h2_9d2e9d852709_511224ee6dcc,t13d2221h2,9d2e9d852709,511224ee6dcc,True,True,True,22,21,11,True
JunkHeavy,16,FAILED,,,,,,,22,21,11,False
JunkHeavy,17,FAILED,,,,,,,22,21,11,False
JunkHeavy,18,t13d2221h2_9f8e165e2ce5_6fbbe777f5a7,t13d2221h2,9f8e165e2ce5,6fbbe777f5a7,True,True,True,22,21,11,True
JunkHeavy,19,t13d2221h2_deacca8ebe2e_d30178e8c20e,t13d2221h2,deacca8ebe2e,d30178e8c20e,True,True,True,22,21,11,True
Chaos,0,FAILED,,,,,,,21,19,13,False
Chaos,1,t13d2120h2_fc93bf967ec8_666d0cef7634,t13d2120h2,fc93bf967ec8,666d0cef7634,True,True,True,21,20,11,True
Chaos,2,t13d1919h2_2845b1e5be1c_f416037c99fd,t13d1919h2,2845b1e5be1c,f416037c99fd,True,True,True,19,19,13,True
Chaos,3,t13d2019h2_722ab9ff3fcb_b1fdd78bce99,t13d2019h2,722ab9ff3fcb,b1fdd78bce99,True,True,True,20,19,11,True
Chaos,4,t13d2120h2_944217daf082_dc48e6ec2344,t13d2120h2,944217daf082,dc48e6ec2344,True,True,True,21,19,13,True
Chaos,5,t13d2018h2_fe9d66c03401_a3b965aa7f4d,t13d2018h2,fe9d66c03401,a3b965aa7f4d,True,True,True,20,18,11,True
Chaos,6,t13d2120h2_51305605ba3b_6dc024877ff4,t13d2120h2,51305605ba3b,6dc024877ff4,True,True,True,21,19,13,True
Chaos,7,FAILED,,,,,,,21,18,12,False
Chaos,8,t13d2119h2_badfbd804383_65d46e175bad,t13d2119h2,badfbd804383,65d46e175bad,True,True,True,21,18,11,True
Chaos,9,t13d2121h2_bdef3f95ed1d_43ceb81c2d86,t13d2121h2,bdef3f95ed1d,43ceb81c2d86,True,True,True,21,20,13,True
